àbac	ábaco
aïllament	
aïllant	
aimara	aimará
aimara	aimará
ainu	
aire	
aire ambient	
airejament	
airejant	
airositat	
aixa	
aixada	
aixadell	
aixadella	
aixafada	
aixafament	
aixecada de camisa	
aixecament	
aixella	
aixeta	torneira
aixeteria	
aixopluc	
aixovar	
aj.	
ajornament	
ajuda	ajuda
ajuda de preadhesió	
ajuda estatal	
ajudant	
ajudant de laboratori	
ajuntament	
ajust	
ajustador	
ajustament	
ajustatge	
ajust de prima	
ajusticiament	
ajut	
AKP	
ala	asa
alabarder	
alabastre	
alabastrita	
alabès	
alacantí	
alacrà	
alacritat	
aladroc	
alamà	
alamànic	
alamànic suís	
alambí	alambique
alanina	
alarit	
alarma	
alarmisme	
alarmista	
alatxa	alatiyo
alba	
albanès	albanés
albanès	albanés
albarà	
albatros	
albeca	
albedo	
albelló	
àlber	
albercoc	
albercoquer	
albereda	
alberg	albergaria
albergínia	
alberguer	
albertosaure	
albespí	
albí	
albigès	
albinisme	
albir	
albirament	
albita	
albor	
alborada	
albufera	
albugo	
àlbum	
albumen	
albúmina	
albuminúria	
alcà	
alça	
alçada	
alcalde	
alcaldia	
alcalescència	
àlcali	
alcalímetre	
alcalimetria	
alcalinitat	
alcaloide	
alcalosi	
alçament	
alçaprem	
alçària	
alcàsser	
alçat	
alcavot	
alcohol	
alcoholat	
alcoholèmia	
alcohòlic	
alcoholificació	
alcoholímetre	
alcoholisme	
alcoholització	
alcohologia	
alcorà	
alcova	
aldarull	
aldehid	
aldol	
aldolasa	
aldosa	
aldosterona	
alè	
aleatorietat	
aleatorització	
àlef	
alegalitat	
alegria	alegria
alemany	alemão
alemany suís	
alena	
alentidor	
alentiment	
àlep	
aler	
aleró	
alerta	alerta
aleta	barbatana
aleteig	
aleuròdid	
aleurona	
aleuta	
aleví	
alexandrí	
alèxia	
alexina	
alfa	
alfàbega	
alfabet	alfabetizado
alfabetització	
alfabetitzador	
alfàbrega	
alfals	
alfange	
alfardó	
alfènid	
alferes	
alfil	
alfolba	
alga	
algara	
algaravia	algaravia
àlgebra	
algebrista	
algeps	
algepser	
algerí	
algerià	
algicida	
algidesa	
algina	
algonquí	
algorisme	algoritmo
algorísmia	
algoritme	
algoteràpia	
alguerès	
alguna cosa estranya	
algutzir	
aliança	
aliat	
aliatge	
àlibi	
alicates	
alidada	
alienabilitat	
alienació	
alienat	
alienígena	
alienista	
alienitat	
àlies	
àliga	
aliment	alimento
alimentació	
alimentador	
alimentista	
alineació	
alineament	
alisi	
alisma	
alitzari	
alitzarina	
aljub	
all	alho
allada	
al·lantoide	
al·lantoïna	
allargament	
allau	avalanche
al·lè	
al·legació	
al·legant	
al·legat	
al·legoria	
al·legorista	
allegretto	
allegro	
al·lel	
al·lelomorf	
al·lelopatia	
al·leluia	
al·lergen	
al·lergenicitat	
al·lèrgia	
al·lergització	
al·lergogen	
al·lergòleg	
al·lergologia	
alletament	
alleugeriment	
alleujament	
alliberació	
alliberament	
alliberament de prima	
al·licient	
alliçonament	
al·ligació	
al·ligàtor	
allioli	aioli
allisada de trànsit	
allistament	
al·literació	
al·litització	
al·locució	
al·lòfon	
al·lomorf	
al·lopatia	
al·lopurinol	
al·losteria	
al·lot	
allotjament	
al·lotrasplantació	
al·lòtrop	
al·lotropia	
al·lucinació	
al·lucinogen	
allunyament	
al·lusió	
al·luvió	
almadrava	
almagest	
alma mater	
almanac	
almandina	
almàssera	
almesc	
almirall	
almirallat	
almívar	calda
almívar de llet	
almodí	
almogàver	
almohade	
almoina	esmola
almoiner	
almoineria	
almoràvit	
almud	
alna	
àloe	
aloer	
àloe vera	
alògia	
alopècia	
alosa	cotovia
alot	
alou	alódio
alpaca	alpaca
alpinisme	
alpinista	
alquè	
alquemil·la	
alquequengi	
alqueria	
alquí	
alquil	
alquilació	
alquímia	
alquimista	
alsacià	
alta hospitalària	
altar	altar
altaveu	
altaveu de subgreus	
altell	
alterabilitat	
alteració	
altercació	
altercat	
alter ego	
alteritat	
alternació	
alternador	
alternança	
alternativa	
altesa	
altimetria	
altimira	
altiplà	
altiport	
altitud	
altivesa	
altocúmul	
alto el foc	
alto-el-foc	
altoestrat	
altoestratus	
alt rendiment	
Alt Representant	
altruisme	
altruista	
alts i baixos	
altura	
alturó	
aluata	
alucita	
alum	
alumenatge	
alúmina	
alumini	alumínio
aluminiat	
aluminosilicat	
aluminotèrmia	
alumnat	
alumne	
alunita	
alvèol	
alveolitis	
alvocat	
alvocater	
alzheimer	
alzina	
alzinar	
alzina surera	
AM	
amabilitat	
amagatall	
amalgama	amálgama
amalgamació	
amanida	salada
amaniment	
amanita	
amansiment	
amant	amante
amanuense	
amanyac	
amarant	
amaratge	
amargor	
amarguesa	
amarra	
amarrador	
amarratge	
amàs	
amateur	
amateurisme	
amativitat	
amaurosi	
amazona	
amazònic	
amazonita	
ambages	
ambaixada	
ambaixador	
ambició	
ambidextre	
ambient	
ambientació	
ambientador	
ambientalisme	
ambientòleg	
ambigüitat	
àmbit	
ambivalència	
ambliop	
ambliopia	
ambó	
ambre	
ambrosia	
ambulacre	
ambulància	
ambulatori	
AMD	
ameba	
amebiasi	
amén	
amenaça	ameaça
amenaça de mort	
amenitat	
amenorrea	
ament	
americà	
americana	
americanisme	
americanista	
americanització	
americi	amerício
amerindi	
ametista	
ametla marcona	
ametlat	
ametlla	
ametller	
ametropia	
amfetamina	
amfiartrosi	
amfibi	
amfíbol	
amfibologia	
amfíbrac	
amfictió	
amfictionia	
amfigastri	
amfisbena	
amfiteatre	
amfitrió	
amfòlit	
àmfora	
amiant	asbesto
amic	
amicró	
amida	
amidament	
amígdala	
amigdalectomia	
amigdalitis	
amiguet	
amiguisme	
amil	
amilasa	
amilè	
amiloide	
amiloplast	
amilosa	
amina	
aminació	
amino	
aminoàcid	
aminoglucòsid	
aminoplast	
aminotransferasa	
amistat	amizade
amit	amito
amitosi	
ammocet	
ammòfila	
ammonit	
amnèsia	
amnèsic	
amni	
amniocentesi	
amniota	
amnistia	
amo	
amollonament	
amonal	
amonedament	
amonestació	
amoni	
amoníac	
amonificació	
amor	
amoralisme	
amoralitat	
amoret	
amorf	
amortidor	
amortiment	
amortitzable	
amortització	
amotinament	
amovibilitat	
AMPAS	
ampelografia	
amper	
amperatge	
ampere	
amperímetre	
amperometria	
ampicil·lina	
ampit	
amplada	
amplada de banda	
amplària	
ample de banda	
ampliaci amb prima	
ampliació	
ampliadora	
amplificació	
amplificador	
amplitud	
ampolla	
ampoller	
ampolleta	
ampul·lositat	
amputació	
amulet	amuleto
amuntegament	
amura	
amúsia	
anabaptisme	
anabaptista	
anabòlic	
anabolisme	
anabòlit	
anacard	
anacolut	
anaconda	
anacoreta	anacoreta
anacreòntic	
anacronia	
anacronisme	
anacrusi	
anacúsia	
anada	
anadiplosi	
anaerobi	
anafase	
anafilaxi	
anàfora	
anafrodísia	
anàglif	
anagnost	
anagogia	
anagrama	
analcima	
analema	
analfabet	
analfabetisme	
analgèsia	
analgèsic	
anàlgia	
anàlisi	análise
anàlisi de perfils	
analista	
anàlit	
analitat	
analitzador	
analogia	
analogisme	
anals	
anamnesi	
anamorfosi	
ananàs	
anapest	
anaplàstia	
anàpsid	
anarcosindicalisme	
anarcosindicalista	
anarquia	
anarquisme	
anarquista	
anàrtria	
anastomosi	
anàstrofe	
anatasa	
anatema	
anàtid	
anatifa	
anatocisme	
anatomia	
anatomista	
anatomopatòleg	
anatomopatologia	
anatoxina	
anca	
ancestre	
ancià	
ancilòstom	
ancilostomiasi	
ancó	
ancoratge	
andalús	
andalusí	
andana	
andanada	
andante	
andantino	
andes	
andesina	
andesita	
andí	
andorrà	
andradita	
androgen	
androgínia	
androide	
andròleg	
andrologia	
andròmina	
andropausa	
andropàusia	
andròsace	
androsterona	
ànec	pato
ànec capblanc	
anècdota	
anecdotisme	
anedó	
ànega	
aneguet	
anell	anel
anella	
anellada	
anellament	
anell autoblocant	
anellet	
anèl·lid	
anèmia	
anèmic	
anemofília	
anemògraf	
anemòmetre	
anemone	
anergia	
anestèsia	
anestèsic	
anestesiòleg	
anestesiologia	
anestesista	
anet	
aneuploïdia	
aneurisma	
anfractuositat	
angaria	
àngel	anjo
angelet	
angelisme	
angeví	
angièctasi	
angina	
angioespasme	
angioestenosi	
angiografia	
angioma	
angioneurosi	
angioplàstia	
angiosarcoma	
angiosperma	
angle	
anglès	inglês
anglicà	
anglicanisme	
anglicisme	
anglòfil	
anglofília	
anglòfob	
anglòfon	
anglòman	
anglomania	
anglonormand	
angloparlant	
anglosaxó	
angoixa	
angolès	
angora	
àngstrom	
anguila	anguielo
anguíl·lula	
angula	
angulació	
angúnia	
anhel	anelo
anhídrid	
anhidrita	
anihilació	
anihilament	
anilina	
ànim	
ànima	alma
ànima	alma
animació	
animador	
animadversió	
animal	
animàlcul	
animal de companyia	
animalitat	
animalització	
animaló	
anime	
animisme	
animista	
animositat	
animus donandi	
anió	ânion
aniquilació	
anís	
anisakiosi	
aniset	
anisogàmia	
anisotropia	
anivellació	
anivellament	
aniversari	
ankerita	
annalista	
annamita	
annex	
annexió	
annexionista	
annexitis	
annona	
ànode	
anodització	
anodòncia	
anodonta	
anòfel	
anoll	
anomalia	
anomenada	
anòmer	
anomia	
anònim	
anonimat	
anonimització	
anoplur	
anorac	
anorèxia	
anormal	
anormalitat	
anortita	
anòsmia	
anosognòsia	
anotació	
anotador	
anou	
anoxèmia	
anòxia	
ANP	
anquiloglòssia	
anquilosament	
anquilosi	
ansa	
anserina	
ANSI	
ànsia	
ansietat	
ansiolític	
ant	
anta	
antagonisme	
antagonista	
antanàclasi	
antecedència	
antecedent	
antecessor	
antefixa	
antelació	
antena	
antenista	
antènula	
anteposició	
antera	
anteridi	
anterioritat	
antesagristia	
antesi	
antesignatura	
antevigília	
antiàcid	
antiagregant	
antialcoholisme	
antiamericanisme	
antiariet	
antibioteràpia	
antibiòtic	
antic	
anticatalanisme	
anticàtode	
anticicló	
anticipació	
anticlerical	
anticlericalisme	
anticoagulant	
anticodó	
anticolonialisme	
anticolonialista	
anticomunisme	
anticomunista	
anticoncepció	
anticongelant	
anticonstitucionalitat	
anticontaminació	
anticòs	
anticrist	
antidepressiu	
antiderivada	
antidiabètic	
antidiscriminació	
antidiürètic	
antidopatge	
antídot	antídoto
antiemètic	
antiespasmòdic	
antiestalinista	
antiestàtic	
antieuropeisme	
antifaç	
antifeixisme	
antifeixista	
antífona	
antifonari	
antifosfolípid	
antifranquisme	
antífrasi	
antifricció	
antigalla	
antiga soca	
antigen	
antiglobalització	
antiglobulina	
antigravetat	
antiguitat	
antihalo	
antiheroi	
antihistamínic	
antihomosexualitat	
antiimatge	
antiimperialista	
antijuridicitat	
antiliberalisme	
antillà	
antilogaritme	
antilogia	
antílop	
antimatèria	
antimeridià	
antimilitarisme	
antimilitarista	
antimodel	
antimodernitat	
antimoni	antimónio
antinacionalista	
antineuràlgic	
antineutrí	
antineutró	
antinòmia	
antioxidant	
antipapa	
antiparàsit	
antiparasitari	
antiparlamentarisme	
antipartícula	antipartícula
antipatia	
antipatriota	
antipatriotisme	
antiperonista	
antipirètic	
antipirina	
antiplasmina	
antípoda	
antipodista	
antipopularitat	
antiprotó	
antiquari	
antiquark	
antiracionalisme	
antiracisme	
antiracista	
antireformista	
antiretrocés	
antisemita	
antisemitisme	
antisèpsia	
antisèptic	
antisionisme	
antisionista	
antístrofa	
antitèrmic	
antiterrorisme	
antiterrorista	
antítesi	
antitoxina	
antitradicionalisme	
antitrombina	
antivíric	
antocià	
antologia	
antònim	
antonímia	
antonomàsia	
antozou	
antracè	
antracita	
antracnosi	
antracosi	
antraquinona	
àntrax	
antre	
antropització	
antropobiologia	
antropocentrisme	antropocentrismo
antropòfag	
antropofàgia	
antropogènia	
antropòleg	
antropologia	
antropometria	
antropomorf	
antropònim	
antroponímia	
antroposofia	
antrustió	
antull	
anualitat	
anualització	
anuari	
anuència	
anular	
anul·labilitat	
anul·lació	
anunci	
anunciació	
anunciador	
anunciant	
anur	
anúria	
anus	ânus
ANV	
anvers	
anxova	anchova
any	ano
anyada	
anyell	cordeiro
aorist	
aorta	
aortitis	
ap.	
AP	
AP-7	
apadrinament	
apagada	
apagament	
apaivagament	
apallissament	
apantallament	
aparador	
aparadorisme	
aparat	
aparatositat	
aparcament	
aparell	
aparellador	
aparellament	
aparellatge	
aparença	
apariament	
apariat	
aparició	
apart	
apartament	
apartat	
apartheid	
apassionament	
àpat	refeição
apatia	
apatita	
apàtrida	
apatxe	
APEC	
apedaçament	
apedrec	
apedregada	
apel·lació	
apel·latiu	
apendicectomia	
apendicitis	
apèndix	apêndice
apèpsia	
apercepció	
aperitiu	
aperturisme	
aperturista	
apesantor	
apetència	
apetit	
àpex	
api	
apicultor	
apicultura	
apilament	
apilotament	
apiol	
apirèxia	
aplanament	
aplanetisme	
aplàsia	
aplatament	
aplaudiment	
aplec	
aplegapilotes	
aplic	
aplicabilitat	
aplicació	
aplicador	
aplicatiu	
aplom	
apnea	
apoastre	
apocalipsi	
apocament	
apòcope	
apocrisiari	
àpode	
apoderament	
apòdosi	
apòfisi	
apofonia	
apogàmia	
apogeu	
apògraf	
apòleg	
apolipoproteïna	
apol·lo	
apologètica	
apologia	
apologista	
apomorfina	
aponeurosi	
apoplèctic	
apoplexia	
apoptosi	
aporia	
aportació	
aposició	
aposiopesi	
apòsit	
aposta	aposta
apostasia	
apòstol	
apostolat	
apostolicitat	
apòstrof	
apostrofació	
apòstrofe	
apotecari	
apoteci	
apotegma	
apotema	
apoteosi	
app	
appertització	
appoggiatura	
apragmatisme	
apràxia	
apreciació	
apregonament	
aprehensió	
aprenent	
aprenentatge	
aprensió	
apressament	
aprest	
apreuament	
aprimament	
apriorisme	
aproblematicitat	
aprofitament	
aprofundiment	
apropament	
apropiació	
apropiacionisme	
aprovació	
aprovador	
aprovat	
aprovisionament	
aproximació	
àpside	
apt.	
àpter	
aptitud	
apunt	
apuntació	
apuntador	
apuntalament	
apunyalament	
AQU	
aquarel·la	
aquarel·lista	
aquari	
aquàrium	
aquarterament	
aqüeducte	aqueduto
aquelarre	
aquemènida	
aqueni	
aqüicultor	
aqüicultura	
aquiescència	
aqüífer	
aquilègia	
aquília	
aquiló	
aquità	
aquositat	
àrab	árabe
arabesc	
arabinosa	
arabisme	
arabització	
aràcia	
aràcnid	
aracnoide	
aracnologia	
arada	
aragonès	
aragonesisme	
aragonita	
aram	
arameu	aramaico
aramon	
araneid	
aranès	aranês
aranja	
aranya	
aranyó	
aranyoner	
aranzel	
arauac	
arbequina	
arbitrarietat	
arbitratge	
àrbitre	
arbitri	
arbitrisme	
arboç	
arborescència	
arborètum	
arboricultor	
arboricultura	
arborització	
arbratge	
arbre	árvore
arbreda	
arbre de Guernica	
arbret	
arbust	arbusto
arc	
arç	
arca	
arcabús	
arcabussada	
arcabusser	
arcabusseria	
arcada	
arcaisme	arcaísmo
arcàngel	
arc del cel	
arc de mig punt	
arc de Sant Martí	
arc iris	
arçó	
arcont	
arcosaure	arcossauro
arcosoli	
arc recte	
arcsecant	
arcsinus	
arctangent	
arcuació	
ardiaca	
ardiaconat	
ardit	
ardor	
àrea	
arefacció	
areflèxia	
arena	
arenal	
areng	
arenga	
arenícola	
arenisca	
arenosòl	
arèola	aréola
areòmetre	
areometria	
areòpag	
areòstil	
aresta	aresta
argamassa	argamassa
argelaga	
argent	prata
argentador	
argenteria	
argentí	
argila	argila
arginina	
argirisme	
argó	árgon
argolla	
argonauta	
argot	
argúcia	
argument	
argumentació	
argumentador	
argumentari	
ari	
ària	
arial	
àrid	
aridesa	
àries	
ariet	aríete
arieta	
aril	
arioso	
aripripazole	
aristocràcia	
aristòcrata	
aristolòquia	
aristotelisme	
aritenoide	
arítjol	
aritmètica	
arlequí	
arma	arma
armada	
arma de foc	
armador	
armadura	armadura
armament	
armamentista	
armanyac	
armari	
armari de paret	
armari de rebost	
armella	
armeni	armênio
armeria	
armilla	colete
arminià	
arminianisme	
armistici	
armó	
armoricà	
arna	traça
arnès	
àrnica	
aroma	
aromaticitat	
aromatització	
arpa	harpa
arpegi	
arpella	
arpista	
arpità	
arpó	arpão
arquebisbat	
arquebisbe	arcebispo
arquegoni	
arqueig	
arquella	
arqueobacteri	
arqueòleg	
arqueologia	
arquer	
arquet	
arqueta	
arquetip	
arquiatre	
arquibanc	
arquimesa	
arquitecte	arquiteto
arquitectura	arquitetura
arquitrau	arquitrave
arquivolta	arquivolta
arrabio	
arracada	brinco
arracada de plata	
arracada d'or	
arraconament	
arranjador	
arranjament	
arrap	
arravatament	
arreisme	
arrel	raiz
arrelament	
arrencada	
arrendador	
arrendament	
arrendament financer	
arrendatari	
arreplega	
arreplegament	
arres	
arrest	
arrianisme	
arribada	
arribisme	
arribista	
arrier	
arrimador	
arrissador	
arrítmia	
arrizòfit	
arrodoniment	
arrogació	
arrogància	
arròs	
arròs basmati	
arrossar	
arrossegament	
arrova	
arruga	ruga
arruïnament	
arsenal	
arseniat	
arsènic	arsénio
arsenita	
arsenopirita	
arsenur	
art	
art déco	
art-déco	
art de fons	
artefacte	
artell	
artemísia	
artèria	artéria
arterioesclerosi	
arterioespasme	
arteriografia	
arteriola	arteríola
arteriotomia	
arteritis	
artesà	artesão
artesanat	
artesania	
article	artigo
article	artigo
article de pronunciament previ	
article determinat	
article indeterminat	
article per a la llar	
articulació	
articulisme	
articulista	
artífex	
artifici	
artificialitat	
artificier	
artificiositat	
artiga	
artiller	
artilleria	artilharia
artimó	
artiodàctil	
artista	
art naïf	
art nouveau	
art pop	
artràlgia	
artritis	
artritisme	
artròdesi	
artròdia	
artrologia	
artromiàlgia	
artropatia	
artroplàstia	
artròpode	
artroscòpia	
artrosi	
artteràpia	
art topiària	
àrum	
arxicanceller	
arxiconfraria	
arxidiaca	
arxidiòcesi	
arxiduc	
arxiducat	
arxiepiscopat	
arxifonema	
arximandrita	
arxipèlag	
arxiprestat	
arxipreste	
arxiu	
arxivador	
arxivament	
arxivament de les actuacions	
arxiver	
arxivística	
as	
asbest	
asbestosi	
asc	
ascariasi	
ascendència	
ascendent	
ascens	
ascens al tron	
ascensió	
ascensor	
ascensorista	
ascesi	
asceta	
ascetisme	
ascidi	
ASCII	
ascites	
ascla	
asclepiadeu	
ascomicet	
ase	burro
ase	burro
aseïtat	
asèpsia	
asexualitat	
asfalt	
asfaltatge	
asfíxia	
asfòdel	
asiàlia	
asiàtic	
asil	
asimbòlia	
asimetria	
asímptota	
asincronia	
asincronisme	
asíndeton	
asistòlia	
asma	
asmàtic	
asocial	
asomatognòsia	
aspa	
asparagina	
aspartam	
aspartat	
aspecte	
aspermatisme	
aspersió	
aspersor	
aspi	
aspiatge	
àspid	
aspidistra	
aspiració	
aspirador	
aspiradora	
aspirant	
aspirina	
aspre	
aspresa	
aspror	
assagador	
assagisme	
assagista	
assaig	ensaio
assaig	ensaio
assalariat	
assalt	
assaltador	
assaltant	
assaonament	
assassí	
assassinat	
assecador	
assecadora	
assecament	
assecat	
assecatge	
assegador	
assegurabilitat	
asseguració	
assegurador	
assegurament	
assegurança	
assegurança a tot risc	
assegurança d'accidents	
assegurança de vida	
assegurança mèdica	
assegurat	
assemblador	
assemblatge	
